company,model_name,year,age,kms_driven,fuel_type,transmission,owner,Price,name,source,price_lakh
Volkswagen,Crosspolo,2014,12,80000,Diesel,Manual,second,403750,Volkswagen Crosspolo,kaggle_market,4.04
Maruti Suzuki,Wagon-R,2014,12,84000,Petrol,Manual,second,251750,Maruti Suzuki Wagon-R,kaggle_market,2.52
Volkswagen,Polo,2021,5,18000,Petrol,Automatic,first,807500,Volkswagen Polo,kaggle_market,8.07
Maruti Suzuki,Baleno,2017,9,47000,Petrol,Automatic,first,546250,Maruti Suzuki Baleno,kaggle_market,5.46
Volkswagen,Vento,2011,15,134000,Diesel,Manual,first,403750,Volkswagen Vento,kaggle_market,4.04
Maruti Suzuki,Alto-K10,2011,15,82000,Petrol,Manual,first,171000,Maruti Suzuki Alto-K10,kaggle_market,1.71
Maruti Suzuki,Celerio,2015,11,35000,Petrol,Automatic,first,403750,Maruti Suzuki Celerio,kaggle_market,4.04
Renault,Duster,2015,11,150000,Diesel,Automatic,second,427500,Renault Duster,kaggle_market,4.28
Toyota,Fortuner,2012,14,132000,Diesel,Manual,first,1040250,Toyota Fortuner,kaggle_market,10.4
Land Rover,Range Rover Evoque,2017,9,130000,Petrol,Automatic,second,2375000,Land Rover Range Rover Evoque,kaggle_market,23.75
Maruti Suzuki,Ertiga,2020,6,59000,Petrol,Automatic,first,931000,Maruti Suzuki Ertiga,kaggle_market,9.31
Tata,Nexon,2018,8,95000,Petrol,Automatic,second,546250,Tata Nexon,kaggle_market,5.46
Tata,Indigo Ecs,2016,10,115000,Diesel,Manual,second,104500,Tata Indigo Ecs,kaggle_market,1.04
Mahindra,Thar,2022,4,11000,Diesel,Manual,first,1591250,Mahindra Thar,kaggle_market,15.91
Toyota,Camry,2015,11,68000,Petrol,Automatic,second,1125750,Toyota Camry,kaggle_market,11.26
Skoda,Kushaq,2021,5,74000,Petrol,Automatic,first,1139050,Skoda Kushaq,kaggle_market,11.39
Maruti Suzuki,Ritz,2012,14,88000,Petrol,Manual,first,365750,Maruti Suzuki Ritz,kaggle_market,3.66
Hyundai,Grand I10,2014,12,47000,Petrol,Automatic,second,432250,Hyundai Grand I10,kaggle_market,4.32
Honda,Brio,2012,14,68000,Petrol,Manual,first,223250,Honda Brio,kaggle_market,2.23
Honda,City Zx,2007,19,115000,Petrol,Manual,second,251750,Honda City Zx,kaggle_market,2.52
Hyundai,I10,2011,15,50000,Petrol,Manual,second,142500,Hyundai I10,kaggle_market,1.42
Honda,Wrv,2017,9,98000,Diesel,Manual,first,570000,Honda Wrv,kaggle_market,5.7
Land Rover,Discovery Sport,2019,7,62000,Diesel,Automatic,first,2944050,Land Rover Discovery Sport,kaggle_market,29.44
Tata,Harrier,2019,7,67000,Diesel,Manual,second,854050,Tata Harrier,kaggle_market,8.54
Tata,Zest,2015,11,69000,Petrol,Manual,second,323000,Tata Zest,kaggle_market,3.23
Maruti Suzuki,Eeco,2021,5,49000,Petrol,Manual,first,513000,Maruti Suzuki Eeco,kaggle_market,5.13
Maruti Suzuki,Swift-Dzire,2013,13,162000,Diesel,Manual,second,370500,Maruti Suzuki Swift-Dzire,kaggle_market,3.7
Toyota,Fortuner,2018,8,86000,Diesel,Manual,first,2374050,Toyota Fortuner,kaggle_market,23.74
Hyundai,Creta,2023,3,35000,Diesel,Automatic,first,1923750,Hyundai Creta,kaggle_market,19.24
Maruti Suzuki,Wagon-R,2014,12,38000,Petrol,Manual,first,351500,Maruti Suzuki Wagon-R,kaggle_market,3.52
Hyundai,Creta,2020,6,105000,Diesel,Manual,first,997500,Hyundai Creta,kaggle_market,9.98
Toyota,2.8 Legender 4X2,2022,4,25500,Diesel,Automatic,first,3989999,Toyota 2.8 Legender 4X2,kaggle_market,39.9
Maruti Suzuki,Swift Dzire,2015,11,67000,Petrol,Manual,first,427500,Maruti Suzuki Swift Dzire,kaggle_market,4.28
Volkswagen,Ventotest,2016,10,78000,Petrol,Automatic,first,527250,Volkswagen Ventotest,kaggle_market,5.27
Toyota,Innova,2006,20,191000,Diesel,Manual,first,280250,Toyota Innova,kaggle_market,2.8
Hyundai,Creta,2018,8,66000,Petrol,Automatic,second,1021250,Hyundai Creta,kaggle_market,10.21
Toyota,Innova Crysta,2016,10,75000,Diesel,Manual,first,1406000,Toyota Innova Crysta,kaggle_market,14.06
Maruti Suzuki,Vitara-Brezza,2018,8,85600,Diesel,Manual,first,712500,Maruti Suzuki Vitara-Brezza,kaggle_market,7.12
Maruti Suzuki,Ertiga,2012,14,155000,Diesel,Manual,second,617500,Maruti Suzuki Ertiga,kaggle_market,6.18
Hyundai,I10,2010,16,46000,Petrol,Manual,second,74100,Hyundai I10,kaggle_market,0.74
